name,info,map
Ashley Creek Drainage,"Ashley Creek Drainage is divided into Dry Fork Creek, South Fork and North Fork. There are over 70 lakes in the Ashley Creek Drainage of which 27 hold natural reproducing trout populations, including brook, cutthroat and a few rainbows.

There are three trailheads into Ashley Creek Drainage. The Dry Fork access found at the Paradise Park Reservoir camground, Ashley Twins Reservoir and a final access 1/2 mile west of Hacking Lake.

Ashley Twins Reservoir serves as the starting point to reach lakes in the South Fork of Ashley Creek. There is 5.5 mil road (accessible by 4×4) from Red Cloud Loop that will take you to Ashley Twins Reservoir.

To reach Hacking Lake there is a road accessible at the Trout Creek Guard Station and runs west 7 miles. 1/2 mile west of Hacking Lake there is a trailhead that provides access to Lakeshore Basion (South Fork of Ashley Creek).",drainages/ashley-creek-drainage.jpg
Bear River Drainage,"The Bear River Drainage is the largest drainage in the Uintas. It is located in the northwestern extremity of the Uinta range. Most of the drainage area is rugged with a few narrow drainage basins in the east and timbered ridges to the west.

The drainage include 6 major tributary systems including the West Fork, Hayden Fork, Main Fork, Stillwater Fork, East Fork and the Mill Creek Drainage. The West Fork and Mill Creek areas are not open to public access. The drainage has 38 lakes, a reservoir, and several small lakes. Most lakes contain populations of brook or cutthroat trout. A few lakes are stocked with rainbow trout.

The Bear River Drainage is accessible via the Mirror Lake Highway (U-150) east and north of city of Kamas, Utah and south of Evanston, Wyoming. Other access points include Forest Service routes includinge Whitney, Gold Hill, Stillwater, North Slope, East Fork and Mill Creek Roads. Backcountry access areas include the Christmas Meadows and East Fork-Bear River Trailheads and Ruth Lake and Whiskey Creek Trail turnouts on U-150.

A few of the lakes in the Bear River Drainage are accessible by road, but the majority are remote and accessibe only by trail. The most popular access trails include the Bear River-Smiths Fork Trail, the Main Fork Stillwater Trail, the Ruth Lake Trail, the Boundary Creek Trail, the Stillwater Trail, the East Fork Bear River Trail, the Kermsuh Lake Trail, the Amethyst Lake Trail, the Left Hand Fork Trail, and the Whiskey Creek Trail. Each of these trail systems is identified by a Forest Service trail number.

The most popular fishing lakes in the drainage are Ruth, Bourbon, Lyrn, Teal, Beaver and Whitney Reservoir. If you're seeking solitude, these are the lakes you'll want to avoid.",drainages/bear-river-drainage.jpg
Beaver Creek Drainage,"Beaver Creek Drainage is a remote area located on the north slope of the Uinta Mountain Range approximately 10 miles south of Lonetree, Wyoming. It is characterized by apline basins, timbered ridges and several small lakes. The basin comprises the West Fork, Middle Fork and East Fork drainage systems.

Given its remoteness, fishing pressure is low. Anglers rarely make the effort to visit and fish Beaver Creek's backcountry lakes. If you want to catch trout, and are looking for a little solitude, Beaver Creek Drainage is a great place to plan a fishing adventure.

Bearver Creek Drainage is home to 40 lakes, one large reservoir and a various small ponds. Only 12 of these bodies of water have fish populations. Brookies and cutthroats are the most common catches. If you want to target rainbows, visit Hoop Lake in the East Fork Drainage. Most trout populations are naturally reproducing. Aerial stockings of fingerlings are scheduled every few years as required to maintain trout populations.

The easiest way to access Beaver Creek Drainage is via the Hole in the Rock Road for Lontree, Wyoming and the North Slope Road accessible from Henry Fork Drainage or Burnt Fork Drainage. There are three trails that provide acess to Beaver Creek wilderness area. These include the West Fork Beaver Trail (accessible from West Fork Road), the Thompson Peak Trails (accessible from the Hoop Lake Trailhead), and the Middle Fork Beaver Trail (accessible from Georges Park Trailhead).",drainages/beaver-creek-drainage.jpg
Blacks Fork Drainage,"Blacks Fork Drainage is located on the north slope of the Uintas. It is composed of 4 tributaries, including West Fork, Middle Fork, East Fork and Little East Fork. Blacks Fork Drainage is a rugged alpine tundra composed of narrow river valleys.

There are 33 lakes, 3 reservoirs and over 100 smaller (smaller than 2 acre) ponds located throughout the 4 tributaries. You'll find trout in about half of these waters.

Blacks Fork Drainage is about 15 miles south of U-150 on North Slope Road and 18 miles southwest of Robertson, Wyoming. There are several trails that provide access to back country wilderness areas in the drainage. These include Bear River-Smith Fork Trail, the East Fork Blacks Fork Trail, the West Fork Blacks Fork Trail, the Little East Fork Blacks Fork Trail and the Middle Fork Blacks Fork Trail.

If you're looking for peace and solitude, it doesn't get any better than Blacks Fork Drainage. Most fishing lakes are located some distance from the road and accessible by foot. Only 5 of the lakes can be reached directly by road or trail. Fishing pressure is low in this drainage.

The most popular catches in the Blacks Fork Basin are brook and cutthroat trout. Most trout populations reproduce naturally. Brook and cutthroat populations are augmented periodically by aerial stocking. In the Lyman Lakes, where fishig pressure is higher, brook trout are stocked regularly, as are rainbows. A few lakes offer the possibility of tiger trout and graylings.

If you plan on doing much fishing in the Blacks Fork Drainage, make sure to carefully plan your trip ahead of time. The terrain is rugged, lakes are remote, and there is a bit of distance between fishable waters.",drainages/blacks-fork-drainage.jpg
Burnt Fork Drainage,"The Burnt Fork Drainage is located south of Hoop Lake directly west of the Sheep/Carter Creek Drainage in the northern Uintas. This is a relatively small drainage with only 15 sizable lakes and 100 smaller ponds under 2 acres in size. All but a few of the lakes support trout populations.

There is a dirt road from Lonetree, Wyoming that provides direct access to the Burnt Fork drainage. The road runs south to Hoop Lake which is the main access point for the drainage. The Burnt Fork drainage can also be access on its east end from Spirit Lake (in the Sheep/Carter drainage). The most popular lakes in the drainage are found in the Kabell Lake and Island Lakes region. The Island Lakes region also provides access to the Upper Uinta drainage by way of a pass over the Uinta divide.

The most abundant fish species in the Burnt Fork drainage is cutthroat trout. Many of the lakes also contain brook trout. Over half of the lakes contain both species.",drainages/burnt-fork-drainage.jpg
Dry Gulch Drainage,"Dry Gulch is located between the Uinta River and Swift Creek Drainages, approximately 15 miles northeast of the city of Altamont, Utah. It is a relatively small drainage composed of the Heller and Crow basins.

The Heller Basin has 1 reservoir, 3 lakes and just over 30 small ponds. The reservoir and the lakes are the only managed fisheries, but you may also find fish in some of the ponds. The terrain is not as rugged as other drainages in the Uinta range. It is characterized by talus ridges covered by conifer pines and narrow damp meadows. Heller basin is accessed via Dry Gulch Rd (No.122) north of Altamont near the boundary dividing the U.S. Forest Service and Indian Reservation.

Crow basin is long and narrow surrounded by steep rock walls. The floor of the basin is composed of meadows and rigdes covered in conifers. There are 11 lakes that are bigger than 2 acres and several smaller ponds. Not all the lakes are stocked with trout and fishing can be hit or miss. The basin is accessed via the Timothy Creek jeep trail (no.120) located north of Altamont or Neola about 2 miles west of the Dry Gulch turnoff. From there travel 6 miles along Timothy Creek Road to Jackson Park which borders Crow Basin.

Crow Basin can also be accessed from Heller Basin. Follow the Lily Pad lakes trail northwest from Heller Basin over the Flat Top Mountain into Crow Basin. The Crow Basin receives relatively low fishing pressure compared to Heller Basin due to its inaccessibility.",drainages/dry-gulch-drainage.jpg
Duchesne River Drainage,"The Duchesne River Drainage is one of the more popular areas to fish in the Uinta Mountains. The drainage has 62 natural lakes with over half of these lakes supporting healthy trout populations. This area is also popular among hikers. It is characterized by wide basins with gentle sloping ridges covered with conifers.

The best access for anglers is via U-150 east of Kamas, UT or Hwy 35 just north of the city of Hanna. The drainage can also be accessed using the Murdock Basin and Iron Mine Mountain Timber roads. Another reason for the basin's popularity is that 15 of the best fishing lakes are directly accessible by vehicle and the remaining lakes can be reached using well-maintained hiking trails.

Most visitors to the Duchesne River Drainage access the area using the Highline and Mirror Lake trailheads just off U-150 or via the Grandview and Sawmill Flat trailheads on Highway 35. The Highline trail is the major inland route providing access to Naturalist Basin and Packard Lake Trail. If you want to access the lakes along the eastern rim of the drainage, such as Sonny, Farney and Marshall, take the Grandaddy Trail from the trailhead.

Lesser traveled access routes into the Duchesne River Drainage include the Olga Lake Trail, East Fork Trail, Skinner Duchesne River Trail, Cutoff Trail, Mirror Lake Trail, Pinto Lake Trail, Blue Lake Trail and Fehr Lake Trail.

The lakes along the Mirror Lake Highway Corridor receive the most fishing pressure of any lakes in the basin. Popularity of these lakes is driven by great fishing and amenities. Moosehorn Lake, Mirror Lake, Butterfly Lakes and Scout Lake offer well-maintained campgrounds, restrooms an picnic facilities. Jordan Lake in the Naturalist Basin recieves the highest fishing pressure and activity. If you're looking for solitude, it's recommended to visit of one of the many other basins in the Uintas.

You'll find both brook trout and cutthroats throughout the drainage, but brookies are by far the more abundant species. Rainbow trout can be found in a few of the larger stocked lakes including Mirror Lake, Moosehorn Lake, Pass Lake and Butterfly Lakes. If you're interested in hooking an Arctic grayling, hit Carolyn Lake.",drainages/duchesne-river-drainage.jpg
Henrys Fork Drainage,"The Henry Forks Drainage is a relative small drainage located 25 miles south of Mountain View, Wyoming on the north slope of the Uinta Mountains. It is charactized by narrow river valleys, wide timbered slopes, sparse alpine tundra, and tundra-covered plateaus.

The drainage has over 50 lakes and several small ponds under an acre in size. About 40% of the lakes in the Henry Fork Drainage have substantial fish populations. About a third of the fishing lakes in the drainage experience fairly high fishing pressure. If you're looking for more solitude, fish some of the more remote lakes in the basin. Cutthroats are the most popular trout species in Henrys Fork waters, but anglers also report catching brook trout.

Many of the lakes in this drainage receive periodic aerial stockings of trout fingerlings.

The drainage is accessible from Mountain View or Lonetree, Wyoming via well-maintained Forest Service roads. The Henry Fork Trail provides access to most of the lakes in the backcountry. This trail begins at the Henry Fork Trailhead and runs south over Gunsight Pass into the Uinta River Drainage. Smiths Fork Drainage to the west and Beaver Creek Drainage to the east also provide access Henrys Fork Drainage via the interbasin Highline Trail. The interbasin Highline Trail (""Basin Trail"") provides access to many of the good fishing lakes along the western end of the Henrys Fork Drainage.",drainages/henrys-fork-drainage.jpg
Lake Fork Drainage,"The Lake Fork Drainage is located on the south slope of the Uinta Mountain Range. It is subdivided into three tributaries: Lake Fork, Brown Duck, and Fish. All three of these tributaries flow into Moon Lake.

The main access to Lake Fork Drainage starts 15 miles north of Mountain Home, Utah at Moon Lake. The two major routes into the drainage are Brown Duck and Lake Fork trails. Brown Duck Trail runs 7 miles from Moon Lake into Brown Duck Basin. From there is splits into two trails that lead to Rock Creek Drainage (to the west) and north to Clements Reservoir and East Basin. The Lake Fork Trail runs north from Moon Lake along the main creek until it reaches Ottoson Basin, the Oweep Creek area, and Lambert Meadows. Both the Brown Duck and Lake Fork trails are well maintained.

Lake Fork Drainage has over 90 ponds and lakes—mostly located on the the thick timbered plateaus along the west end. Several of the lakes are over 20 miles from the drainage's main access point at Moon Lake. Lake Fork drainage is also home to Crater Lake, the deepest natural lake in the Uintas.

Some of most popular fishing destinations for anglers include Brown Duck Basin, the Clements Reservoir area and the Atwine Lakes area. Each of these destinations is within 7-11 miles of the main trailhead at Moon Lake. Fishing pressure is at its highest over the July 4th, 24th of July and Labor Day holidays. If you want solitude, peace, or quite, avoid these dates. All other lakes and basins receive low to moderate fishing pressure.

Roughly half of the lakes in the drainage provide abundant fish populations and fishing opportunities. The main game fish include brook and cutthroat trout, with a few rainbows and Arctic graylings mixed in. The most abundant trout populations are found in Crater, Atwine, and Porcupines lakes. Most of the larger streams provide excellent fly fishing for brook and cutthroat trout.",drainages/lake-fork-drainage.jpg
Provo River Drainage,"The Provo River Drainage along the western end of the Uinta Mountain Range is characterized by wide drainage basins, dome-like mountain peaks and timbered ridges. There about 80 lakes and 150 smaller (2 acre) ponds located in the drainage. About 70% of the lakes in the Provo River Drainage offer productive fishing. The majority of lakes are located north west of Mirror Lake Highway (U-150) beginning near the city of Kamas, Utah.

Most fishing in the Provo Drainage occurs along the Mirror Lake Highway corridor. Trail, Lily and Lost lakes are three of the most popular camping lakes and have heavy fishing pressure. Lakes along the popular Lakes Country Trail also experience high fishing pressures. For solitude you're required to fish the remote lake basins an backcountry waters away from high traffic roads and trails.

The Crystal Lake Trailhead provides the main access to the most of the fishable backcountry lakes in the basin. Other access trails within the vecinity include Lake Country Trail, Notch Mountain Loop Trail, and Watson-Clyde Trail. The Watson-Clyde Trail is a bit challenging to locate and navigate. It begins at the northwestern end of Uppler Lily Lake near the Crystal Lake Trailhead. Other important access points for the Provo River Drainage include the Upper Setting and Bald Mountain trailheads which provide access to the Weber Basin lakes.

Together Mirror Lake Highway (U-150) and Forest Service Roads including Norway Flats Road, Spring Caynon Road, and Upper Setting Road provide access to the majority of the Provo River Drainage. Several (20) of the lakes in the drainage are directly accessible by vehicle and many more are accessible within a short walking distance from the road.

Brook trout are by far the most abundant gamefish in the Provo River Drainage and are found in most of the fishable lakes. Stocked cutthroats are also found throughout the drainage. A few of the more popular lakes adjacent to Mirror Lake Highway are stocked with rainbow trout. If you're interested in Arctic grayling, fish Weir and Marjories lakes.",drainages/provo-river-drainage.jpg
